# HAT-P-41, Vmag = 11.4, exptime = 190s, Teff = 6500K
# wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
6204.0000,0,2.09,97.077,64951,65050
6218.0000,0,2.09,97.077,64206,64305
6232.0000,0,2.09,97.077,63071,63170
6246.0000,0,2.09,97.077,61631,61730
6260.0000,0,2.09,97.077,61957,62056
6274.0000,0,2.09,97.077,62674,62774
6288.0000,0,2.09,97.077,62362,62461
6302.0000,0,2.09,97.077,61273,61373
6316.0000,0,2.09,97.077,60504,60603
6330.0000,0,2.09,97.077,60323,60422
6344.0000,0,2.09,97.077,59925,60024
6358.0000,0,2.09,97.077,59514,59613
6372.0000,0,2.09,97.077,59139,59238
6386.0000,0,2.09,97.077,58950,59049
6400.0000,0,2.09,97.077,58208,58307
6414.0000,0,2.09,97.077,57479,57578
6428.0000,0,2.09,97.077,57367,57467
6442.0000,0,2.09,97.077,56765,56864
6456.0000,0,2.09,97.077,56190,56290
6470.0000,0,2.09,97.077,55822,55921
6484.0000,0,2.09,97.077,55041,55140
6498.0000,0,2.09,97.077,54717,54817
6512.0000,0,2.09,97.077,54726,54825
6526.0000,0,2.09,97.077,54192,54291
6540.0000,0,2.09,97.077,52365,52464
6554.0000,0,2.09,97.077,49084,49183
6568.0000,0,2.09,97.077,44560,44659
6582.0000,0,2.09,97.077,48168,48267
6596.0000,0,2.09,97.077,51710,51809
6610.0000,0,2.09,97.077,52096,52195
6624.0000,0,2.09,97.077,51890,51990
6638.0000,0,2.09,97.077,51521,51620
6652.0000,0,2.09,97.077,51097,51196
6666.0000,0,2.09,97.077,50509,50608
6680.0000,0,2.09,97.077,50282,50381
6694.0000,0,2.09,97.077,50036,50135
6708.0000,0,2.09,97.077,49405,49504
6722.0000,0,2.09,97.077,49102,49201
6736.0000,0,2.09,97.077,48682,48781
6750.0000,0,2.09,97.077,48090,48190
6764.0000,0,2.09,97.077,47805,47905
6778.0000,0,2.09,97.077,47479,47578
6792.0000,0,2.09,97.077,47025,47124
6806.0000,0,2.09,97.077,46582,46681
6820.0000,0,2.09,97.077,46216,46315
6834.0000,0,2.09,97.077,45823,45922
6848.0000,0,2.09,97.077,45227,45326
6862.0000,0,2.09,97.077,44989,45088
6876.0000,0,2.09,97.077,44755,44854
6890.0000,0,2.09,97.077,44414,44513
6904.0000,0,2.09,97.077,44005,44104
6918.0000,0,2.09,97.077,43633,43732
6932.0000,0,2.09,97.077,43257,43356
6946.0000,0,2.09,97.077,42909,43008
6960.0000,0,2.09,97.077,42574,42673
6974.0000,0,2.09,97.077,42240,42339
6988.0000,0,2.09,97.077,41869,41968
7002.0000,0,2.09,97.077,41118,41217
7016.0000,0,2.09,97.077,40594,40694
7030.0000,0,2.09,97.077,40522,40621
7044.0000,0,2.09,97.077,40290,40389
7058.0000,0,2.09,97.077,39909,40008
7072.0000,0,2.09,97.077,39470,39569
7086.0000,0,2.09,97.077,39061,39160
7100.0000,0,2.09,97.077,38535,38634
7114.0000,0,2.09,97.077,38048,38147
7128.0000,0,2.09,97.077,37697,37796
7142.0000,0,2.09,97.077,37327,37426
7156.0000,0,2.09,97.077,36931,37030
7170.0000,0,2.09,97.077,36488,36587
7184.0000,0,2.09,97.077,35903,36002
7198.0000,0,2.09,97.077,35584,35684
7212.0000,0,2.09,97.077,35446,35546
